name
101 HAHN STUDENT SERVICES
102 QUARRY PLAZA
103A EAST FIELD HOUSE
103B OPERS - RESTRICTED
104 EAST REMOTE
106 COWELL COLLEGE
107 COWELL - STEVENSON
108 STEVENSON SERVICE ROAD
109 STEVENSON COLLEGE
110 STEVENSON COLLEGE
111A CROWN COLLEGE PIT
111B CROWN COLLEGE CIRCLE
111A
112 CORE WEST STRUCTURE
113 THIMANN LAB
114 JOHN R. LEWIS COLLEGE
114 SOCIAL SCIENCES
115 CARRIAGE HOUSE
116 CAMPUS FACILITIES
119 MERRILL COLLEGE
120A LOWER MCHENRY LIBRARY
120B UPPER MCHENRY LIBRARY - RESTRIC
121 BIOMED - SCIENCE LIBRARY
124 PORTER COLLEGE
125 PORTER COLLEGE
126 PERFORMING ARTS
126 126 PERFORMING ARTS
127 WEST REMOTE
128 HEALTH CENTER
130 FAMILY STUDENT HOUSING - 200 LOO
131 FAMILY STUDENT HOUSING - 300 LOO
133 FAMILY STUDENT HOUSING - 500 LOO
134 FAMILY STUDENT HOUSING - 600 LOO
135 FAMILY STUDENT HOUSING - 700 LOO
136 FAMILY STUDENT HOUSING - 800 LOO
138 BASKIN ENGINEERING
139A ENGINEERING II
139B COMMUNICATIONS
140 FOUNDRY
141 KERR HALL
143 KRESGE COLLEGE
144 OAKES COLLEGE
145 KRESGE COLLEGE
146 RACHEL CARSON COLLEGE
147 KRESGE COLLEGE
149 HELLER EXTENSION
150A NORIMETER
150A NORTH PERIMETER
150B NORIMETER
150B NORTH PERIMETER
150A NORIMITER
150A NORTH PERIMITER
150B NORTH PERIMITER
152 CROWN - MERRILL APARTMENTS
153 CROWN - MERRILL APARTMENTS
154 CROWN - MERRILL APARTMENTS
155 CROWN - MERRILL APARTMENTS
156 FIRE HOUSE
157 GRADUATE STUDENT APARTMENTS
158 REDWOOD GROVE APARTMENTS
159 REDWOOD GROVE APARTMENTS
160 OAKES COLLEGE
161 OAKES COLLEGE
162 OAKES COLLEGE
163 COWELL PROVOST
164 JOHN R. LEWIS COLLEGE
164 COLLEGE TEN
165 JOHN R. LEWIS COLLEGE
165 COLLEGE TEN
166 COLLEGE NINE
167 COLLEGE NINE
168 AGROECOLOGY
169 THE VILLAGE
170 HAY BARN
201 C.S.C. - SEYMOUR CENTER
202 C.S.C. - SOUTH SERVICE AREA
203 C.S.C. - CENTER FOR OCEAN HEALTH
205 C.S.C. - COASTAL BIOLOGY BLDG
206 C.S.C. - SURGE PARKING
301 2300 DELAWARE - SOUTH LOT
15169
ACADEMIC RESOURCE CENTER
BASKIN VISUAL ARTS
COLLEGE NINE
COOLIDGE DRIVE
COWELL COLLEGE
COWELL COLLEGE INFILL APTS
CROWN APARTMENTS
CROWN COLLEGE
CROWN SERVICE ROAD
EARTH AND MARINE SCIENCES BUILDING
ENGINEERING LIBRARY
FAMILY STUDENT HOUSING
FARM CASFS
FARM ROAD
HAGAR DRIVE
KRESGE COLLEGE
LEONARDO LANE
LOOKOUT
MERRILL COLLEGE
MERRILL COLLEGE APTS
OAKES COLLEGE
OAKES FIELD SERVICE ROAD
PORTER COLLEGE
PORTER-KRESGE ROAD
RACHEL CARSON COLLEGE
RACHEL CARSON SERVICE ROAD
RED HILL ROAD
STEINHART WAY
STEVENSON SERVICE ROAD
THEATER ARTS CENTER
THIMANN LABS
VILLAGE
VILLAGE ROAD
WEST FIELD HOUSE - RACHEL CARSON COL
WEST SIDE RESEARCH PARK
